N,iteration,fast,Time,
100,0,0,8525351236
100,0,1,7286975514
200,0,0,10171245350
200,0,1,8255243886
300,0,0,12153897103
300,0,1,8800753195
400,0,0,15802006200
400,0,1,9582282289
500,0,0,18701854689
500,0,1,8968939247
600,0,0,22785951565
600,0,1,11268139751
700,0,0,32057860049
700,0,1,12383039783
800,0,0,35223888493
800,0,1,14308286534
900,0,0,42883822776
900,0,1,14131832605
1000,0,0,51539318198
1000,0,1,18401238777
1100,0,0,59267288471
1100,0,1,22009527575
1200,0,0,69704296889
1200,0,1,21374250349
1300,0,0,79855093654
1300,0,1,23415319788
1400,0,0,94247252219
1400,0,1,29407694367
1500,0,0,109239104406
1500,0,1,29000966234
1600,0,0,126866634872
1600,0,1,31133312763
1700,0,0,138835317968
1700,0,1,36763661319
1800,0,0,157219438362
1800,0,1,39157798485
1900,0,0,171801230337
1900,0,1,39639691046
2000,0,0,187408135128
2000,0,1,51353138113
2100,0,0,223286902289
2100,0,1,56460040688
2200,0,0,218541473314
2200,0,1,54698113366
2300,0,0,255217970046
2300,0,1,61136449928
2400,0,0,297264736126
2400,0,1,74743746028
2500,0,0,322418681934
2500,0,1,75660991684
2600,0,0,311972661892
2600,0,1,83744238108
2700,0,0,353511157413
2700,0,1,93919843279
2800,0,0,406593885450
2800,0,1,102191766542
2900,0,0,431510276647
2900,0,1,92957343705
3000,0,0,465828178311
3000,0,1,105962520547
3100,0,0,515642086448
3100,0,1,115781289438
3200,0,0,505653589865
3200,0,1,138437165290
3300,0,0,571396715424
3300,0,1,139023690139
3400,0,0,602228109283
3400,0,1,132515949554
3500,0,0,638724682486
3500,0,1,124065246875
3600,0,0,645315809564
3600,0,1,166172510774
3700,0,0,691042397725
3700,0,1,146909278429
3800,0,0,751583853302
3800,0,1,168967738017
3900,0,0,766336272982
3900,0,1,211845950435
4000,0,0,944005441525
4000,0,1,221678736076
4100,0,0,937329951801
4100,0,1,205604084147
4200,0,0,910895085069
4200,0,1,234651895593
4300,0,0,1067181517533
4300,0,1,274701472687
4400,0,0,1072084104098
4400,0,1,245257721069
4500,0,0,1140419090691
4500,0,1,290192625945
4600,0,0,1362247637910
4600,0,1,273444711835
4700,0,0,1448532721363
4700,0,1,327996150030
4800,0,0,1433540145589
4800,0,1,322341858921
4900,0,0,1654677399025
4900,0,1,320858823155
5000,0,0,1384824225741
5000,0,1,394683379812
5100,0,0,1709863087769
5100,0,1,442620268670
5200,0,0,1567956998722
5200,0,1,389698269771
5300,0,0,1885908778929
5300,0,1,394042164226
5400,0,0,1874830841289
5400,0,1,425621709917
5500,0,0,2123075276261
5500,0,1,483508922361
5600,0,0,2040700555784
5600,0,1,435275463840
5700,0,0,1882034478746
5700,0,1,414704776551
5800,0,0,1950345769161
5800,0,1,504737983662
5900,0,0,2490539289663
5900,0,1,591981943209
6000,0,0,1959673753831
6000,0,1,590209994193
6100,0,0,2522210069013
6100,0,1,638209728513
6200,0,0,2674837684960
6200,0,1,640702315740
6300,0,0,2780272133309
6300,0,1,563194099296
6400,0,0,3021382968942
6400,0,1,640755488746
6500,0,0,3151641477371
6500,0,1,685684727564
6600,0,0,2819012561751
6600,0,1,705393975613
6700,0,0,3355973730405
6700,0,1,719114298781
6800,0,0,2913775696759
6800,0,1,671571304976
6900,0,0,3273627894925
6900,0,1,705118429634
7000,0,0,3079993292160
7000,0,1,821156985765
7100,0,0,3657825636282
7100,0,1,803491160505
7200,0,0,3499643955190
7200,0,1,875371858281
7300,0,0,4089458618369
7300,0,1,860031039928
7400,0,0,4129403079513
7400,0,1,794968187974
7500,0,0,3892503570841
7500,0,1,831928895053
7600,0,0,3769563909265
7600,0,1,1083388920287
7700,0,0,4240714141284
7700,0,1,975141253584
7800,0,0,4883005561518
7800,0,1,913905064284
7900,0,0,4815092762164
7900,0,1,1247481747019
8000,0,0,4323847181286
8000,0,1,1108207844315
8100,0,0,
8100,0,1,1028781637876
8200,0,0,4967945155626
8200,0,1,1196943715271
8300,0,0,4984746003479
8300,0,1,1282608291615
8400,0,0,5177252879684
8400,0,1,1516447031055
8500,0,0,5463189855330
8500,0,1,1390094091104
8600,0,0,
8600,0,1,1357997176665
8700,0,0,
8700,0,1,1449268406417
8800,0,0,6602121210457
8800,0,1,1456818505394
8900,0,0,
8900,0,1,1470276280520
9000,0,0,
9000,0,1,1485546731137
9100,0,0,
9100,0,1,1430902505951
9200,0,0,
9200,0,1,1436224031111
9300,0,0,6521267917350
9300,0,1,1463972537172
9400,0,0,8404160426848
9400,0,1,1685152582392
9500,0,0,7338110631888
9500,0,1,1858086321509
9600,0,0,
9600,0,1,1615686426576
9700,0,0,
9700,0,1,2084596187118
9800,0,0,8083517071079
9800,0,1,1761255631824
9900,0,0,
9900,0,1,1897147383715
10000,0,0,
10000,0,1,
